label,text
ham,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye."
ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
ham,Wait  &lt;#&gt;  min..
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
ham,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.
ham,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,Sorry about that this is my mates phone and i didnt write it love Kate
ham,No:-)i got rumour that you going to buy apartment in chennai:-)
ham,"Hmm well, night night "
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
ham,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...
ham,Aiyah e rain like quite big leh. If drizzling i can at least run home.
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
ham,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love"
ham,Convey my regards to him
ham,Another month. I need chocolate weed and alcohol.
ham,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt..."
ham,I AM AT A PARTY WITH ALEX NICHOLS
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,Yes there were many sweets
ham,As in different styles?
ham,No need lar i go engin? Cos my sis at arts today...
ham,I'm going 2 orchard now laready me reaching soon. U reaching?
ham,Lol for real. She told my dad I have cancer
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
ham,Yes. Nigh you cant aha.
ham,K..k..i'm also fine:)when will you complete the course?
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. "
ham,What * u wearing?
ham,Hahaha..use your brain dear
ham,Yes:)sura in sun tv.:)lol.
ham,Were trying to find a Chinese food place around here
ham,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
ham,I'm really sorry I lit your hair on fire
ham,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon..."
ham,i am seeking a lady in the street and a freak in the sheets. Is that you?
ham,K then 2marrow are you coming to class.
ham,Its too late:)but its k.wish you the same.
ham,"No, I was trying it all weekend ;V"
ham,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
ham,Let me know when you've got the money so carlos can make the call
ham,Ok.
ham,here is my new address -apples&pairs&all that malarky
ham,Is there any training tomorrow?
